,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 46
987,URN:CornellLabOfOrnithology:EBIRD:OBS264218251,2020-02-28 23:36:46,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,Victoria,AU-VIC,East Gippsland,AU-VIC-EAS,,,,,Rotamah Island,L1902630,H,-37.978082800000000,147.7239861,2009-09-12,,obsr529134,S19142843,Incidental,P20,EBIRD,,,,,0,,0,1,0,,"At the end of Beach Track x2 birds were seen flying along the beach in an easterly direction. Reported by John & Sue O'Malley. Sighting 10396, Rotamah Is.",,
988,URN:CornellLabOfOrnithology:EBIRD:OBS229049418,2019-01-22 16:03:41,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,South Australia,AU-SA,Kangaroo Island,AU-SA-KAN,,,,,"Cape Gantheaume Conservation Park at -36.00694, 137.6036",L2543177,H,-36.00694,137.60361,2009-09-08,08:45:00,obsr450230,S16579321,Incidental,P20,EBIRD_AU,60.0,,,1.0,1,,0,1,0,,p/cloudy and cool breeze. Possible Rufous Fieldwren Eremaea Birds List 59165 Birdlife Australia Record Form 2003283,,
989,URN:CornellLabOfOrnithology:EBIRD:OBS228997750,2020-04-03 21:50:43,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Phillip Island,L2549971,P,-38.47939,145.23651,2009-12-25,,obsr450305,S16695808,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 55380,,
990,URN:CornellLabOfOrnithology:EBIRD:OBS859552784,2020-02-28 22:31:29,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Lake Victoria,L2548623,H,-38.27322,144.59381000000000,2009-01-23,,obsr529639,S64076116,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by JAi-BLV. Pt Lonsdale. Along E shoreline.,
991,URN:CornellLabOfOrnithology:EBIRD:OBS859549850,2020-04-12 02:38:46,5753,species,Hooded Plover,Thinornis cucullatus,,,2,NE,C4,,Australia,AU,Victoria,AU-VIC,Queenscliffe,AU-VIC-QUE,,,,,Beach Access 4W,L5090642,H,-38.2880592,144.6015395,2009-12-31,,obsr529639,S64075681,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,"Observed by BnB. 3W. Nr high-tide mark, just below subdune. 3 eggs. Failure &#xfffd; unknown.",
992,URN:CornellLabOfOrnithology:EBIRD:OBS264214550,2020-02-28 19:45:37,5753,species,Hooded Plover,Thinornis cucullatus,,,5,,,,Australia,AU,Victoria,AU-VIC,Glenelg,AU-VIC-GLG,,,,,Tyredarra 10' Cell,L2548774,P,-38.25,141.75,2009-01-20,,obsr529134,S19141770,Incidental,P20,EBIRD,,,,,0,,0,1,0,,"5 Hooded Plovers were seen at the estuary at Narrawong. One was nesting in a one string enclosure erected by BA. It was sharing this space with Beachgoers, surfers, dogs off leads, and horses. Good luck little guys... Reported by Ian Davies. Sighting 7886, Near Narrawong.",,
993,URN:CornellLabOfOrnithology:EBIRD:OBS227409903,2017-11-03 20:02:25,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Break O'Day,AU-TAS-BRE,,,,,St Helens,L2547547,H,-41.31649,148.23028,2009-07-25,15:50:00,obsr440130,S16497397,Traveling,P22,EBIRD,120.0,10.0,,3.0,1,,0,1,0,,"Observations made after the pelagic, together with James Melville. Areas surveyed were the St Helens sewage ponds, the river from Medeas Cove Rd and the exposed shallow tidal pools near the southern wharf.",,
994,URN:CornellLabOfOrnithology:EBIRD:OBS229067759,2020-02-28 22:31:25,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Thirteenth Beach,L2548604,H,-38.28441,144.45201,2009-02-16,,obsr450476,S16634877,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Highlights of list by BOCA members on a Weekday Outing Walk,led by Fred Smith, reported in MELBOCA Newsletter number 66 April 2009 by Diane Tweeddale, Convenor.   Refer to lists nos.58063-70 for species reported at all sites reported.  A total of 87 species were seen overall.  Refer to list no. 60627 for a complete list of species seen. Eremaea Birds List 58067",,
995,URN:CornellLabOfOrnithology:EBIRD:OBS859549723,2020-02-28 22:53:40,5753,species,Hooded Plover,Thinornis cucullatus,,,4,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Blue Rocks,L4051176,H,-38.2838273,144.42650560000000,2009-08-30,,obsr529639,S64075618,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by BL. Blue Rocks area. 3 ads and a juv.,
996,URN:CornellLabOfOrnithology:EBIRD:OBS264216040,2020-02-28 22:31:28,5753,species,Hooded Plover,Thinornis cucullatus,,,9,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Lake Victoria,L2548623,H,-38.27322,144.59381000000000,2009-04-12,,obsr529134,S19142131,Incidental,P20,EBIRD,,,,,0,,0,1,0,,"Nine Hooded Plovers including four juveniles feeding at the western end of Lake Victoria. Also many hundreds of Red-necked Stints still present widely spread around the lake's edge. Reported by Rod Corinaldi. Sighting 8707, Lake Victoria, Point Lonsdale.",,
997,URN:CornellLabOfOrnithology:EBIRD:OBS859552827,2020-02-28 22:31:29,5753,species,Hooded Plover,Thinornis cucullatus,,,7,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Lake Victoria,L2548623,H,-38.27322,144.59381000000000,2009-03-08,,obsr529639,S64076121,Incidental,P20,EBIRD_AU,,,,2.0,0,,0,1,0,,GFNC records,Observed by SWC. Pt Lonsdale. Incl smaller lakes to W.,
998,URN:CornellLabOfOrnithology:EBIRD:OBS859552840,2020-02-28 22:31:29,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Lake Victoria,L2548623,H,-38.27322,144.59381000000000,2009-04-30,,obsr529639,S64076124,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by GMc. Pt Lonsdale. Imm.,
999,URN:CornellLabOfOrnithology:EBIRD:OBS859557412,2020-02-28 23:05:16,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,"Thompson Creek Estuary, Point Impossible",L3118536,H,-38.30023,144.37434,2009-01-09,,obsr529639,S64076847,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by JP. Thompson Ck mouth.,
1000,URN:CornellLabOfOrnithology:EBIRD:OBS236685054,2020-02-17 03:17:33,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,New South Wales,AU-NSW,Shoalhaven,AU-NSW-SHO,,,,,Bawley Point,L2462923,H,-35.507146900000000,150.39917350000000,2009-10-28,,obsr458625,S17176301,Incidental,P20,EBIRD,,,,1.0,1,,0,1,1,,Walked to Willinga Lake,Seen and photographed. In roped off zone with Hooded Plover signs near Willinga Lake and nearby beach. Digital photo available if required.,
1001,URN:CornellLabOfOrnithology:EBIRD:OBS171412561,2020-02-28 21:12:47,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Cape Woolamai,L922087,H,-38.5515351,145.35092350000000,2009-12-17,,obsr49676,S12198755,Incidental,P20,EBIRD,,,,3.0,1,G497243,0,1,0,,,,
1002,URN:CornellLabOfOrnithology:EBIRD:OBS229048604,2017-10-23 13:29:10,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,South Australia,AU-SA,Kangaroo Island,AU-SA-KAN,,,,,Island Beach,L2541842,H,-35.80056,137.81972,2009-09-08,06:45:00,obsr450230,S16686138,Incidental,P20,EBIRD_AU,50.0,,,1.0,1,,0,1,0,,"Cloudy and cool. Possible Horsfields Bronz Cuckoo, Brush Bronzwing heard. Eremaea Birds List 59159 Birdlife Australia Record Form 2003280",,
1003,URN:CornellLabOfOrnithology:EBIRD:OBS228749711,2020-02-28 21:03:57,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Rhyll Inlet,L2041707,H,-38.457789500000000,145.2965498,2009-01-24,,obsr446198,S16612779,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 38127,"2 on bay beach, north side of spit",
1004,URN:CornellLabOfOrnithology:EBIRD:OBS900483290,2020-04-22 17:13:07,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Tasmania,AU-TAS,Glamorgan/Spring Bay,AU-TAS-GLA,,,,,Piermont Retreat,L11220279,P,-42.1562579,148.0717736,2009-12-23,16:45:00,obsr925994,S67641124,Historical,P62,EBIRD,90.0,,,,1,,0,1,0,,,,
1005,URN:CornellLabOfOrnithology:EBIRD:OBS228763452,2020-04-12 03:35:21,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,South Gippsland,AU-VIC-SGI,,,,,Anderson Inlet Coastal Reserve,L2549093,H,-38.69194,145.81741,2009-02-17,,obsr450444,S16698150,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 39018,,
1006,URN:CornellLabOfOrnithology:EBIRD:OBS859546382,2020-02-29 00:32:22,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,Victoria,AU-VIC,Colac-Otway,AU-VIC-COL,,,,,Aire River mouth,L2986996,H,-38.80588,143.46151,2009-01-21,,obsr529639,S64075242,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by MMa-BLV. Glenaire Beach. 400 m E of Aire River mouth. 2 ad and 1 imm. Evidence of recent illegal 4WD activity.,
1007,URN:CornellLabOfOrnithology:EBIRD:OBS228990928,2020-04-03 22:03:21,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Screw Creek Townsend Bluff Estuary Walk,L2549130,H,-38.6341,145.75329,2009-12-05,,obsr19060,S16705757,Incidental,P20,EBIRD_AU,,,,2.0,1,,0,1,0,,Eremaea Birds List 52912 Birdlife Australia Record Form 2002710,1,
1008,URN:CornellLabOfOrnithology:EBIRD:OBS859549743,2020-02-28 22:45:43,5753,species,Hooded Plover,Thinornis cucullatus,,,3,NE,C4,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Buckleys Bay Beach,L3077255,H,-38.2946641,144.4004239,2009-08-24,,obsr529639,S64075631,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,"Observed by BnB. 46W. On ridge behind, tuft of grass, nest lined with shells, 3 eggs. Failed &#xfffd; unknown. 2nd event 19/10/2009; nr 1st nest, but further back in dunes. 3 eggs, 3 chicks, 1 fledgling. 3rd event 01/02/2010; dune ledge, 1 egg. Failed &#xfffd; reason unknown.",
1009,URN:CornellLabOfOrnithology:EBIRD:OBS229050594,2017-10-23 12:50:39,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,South Australia,AU-SA,Kangaroo Island,AU-SA-KAN,,,,,"Seal Bay at -36.00444, 137.37472",L2543180,H,-36.00444,137.37472,2009-09-08,13:35:00,obsr450230,S16629936,Incidental,P20,EBIRD_AU,35.0,,,1.0,1,,0,1,0,,P/cloudy and cool breeze. Eremaea Birds List 59174 Birdlife Australia Record Form 2003287,,
1010,URN:CornellLabOfOrnithology:EBIRD:OBS719886957,2019-03-05 21:54:17,5753,species,Hooded Plover,Thinornis cucullatus,,,4,,,,Australia,AU,Tasmania,AU-TAS,West Coast,AU-TAS-WEC,,,,,Australia - Tasmania - Macquarie Heads,L8783637,P,-42.219711700000000,145.2254053,2009-11-04,,obsr333833,S53479054,Historical,P62,EBIRD,,,,,0,,0,1,0,,"Mick Greene, Floyd Murdoch, David Wright, Ned Littell",2 pair,
1011,URN:CornellLabOfOrnithology:EBIRD:OBS228770754,2020-05-26 19:17:13,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,West Coast,AU-TAS-WEC,,,,,Grandfathers Beach,L2549255,H,-42.2262631,145.1929625,2009-03-03,11:45:00,obsr450230,S16688417,Incidental,P20,EBIRD_AU,45.0,,,1.0,1,,0,1,0,,Cloudy and cool wind Eremaea Birds List 39700 Birdlife Australia Record Form 2000704,1 flock of at least 40 birds + more flying and on beach,
1012,URN:CornellLabOfOrnithology:EBIRD:OBS228856605,2020-05-31 02:47:27,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Thirteenth Beach,L2548604,H,-38.28441,144.45201,2009-06-28,,obsr450508,S16608056,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Thirteenth Beach, Blue Rocks, Barwon Heads Eremaea Birds List 43669",7 (plus 2 more west of Black Rocks),
1013,URN:CornellLabOfOrnithology:EBIRD:OBS228751905,2020-02-28 22:31:28,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Lake Victoria,L2548623,H,-38.27322,144.59381000000000,2009-01-23,,obsr450387,S16579123,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Mid-afternoon visit to see some waders. Clear and very sunny. Walk around the Eastern shore from the little carpark and then a look towards the golf course. Eremaea Birds List 38287,3 on shoreline,
1014,URN:CornellLabOfOrnithology:EBIRD:OBS859554078,2020-02-28 23:03:31,5753,species,Hooded Plover,Thinornis cucullatus,,,6,,,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,Point Impossible,L2548442,H,-38.30522,144.37708,2009-01-17,,obsr529639,S64076358,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by SWC.,
1015,URN:CornellLabOfOrnithology:EBIRD:OBS264216449,2020-02-28 22:31:28,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Lake Victoria,L2548623,H,-38.27322,144.59381000000000,2009-05-17,,obsr529134,S19142257,Incidental,P20,EBIRD,,,,,0,,0,1,0,,"While surveying for orange bellied parrots (none sighted) came across a family group of two adult Hooded Plovers closely accompanied by three juveniles. Further on we sighted six more adult Hooded Plovers widely spread out along the Lake shoreline Reported by Rod Corinaldi. Sighting 9108, Lake Victoria, Point Lonsdale.",,
1016,URN:CornellLabOfOrnithology:EBIRD:OBS900477135,2020-06-02 20:52:10,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Tasmania,AU-TAS,Latrobe,AU-TAS-LAT,,,,,Narawntapu National Park,L2547920,H,-41.1389679,146.63650080000000,2009-12-22,14:30:00,obsr925994,S67640659,Historical,P62,EBIRD,245.0,,,,0,,0,1,0,,,,
1017,URN:CornellLabOfOrnithology:EBIRD:OBS160324713,2020-02-28 23:01:12,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,Lorne,L1647106,P,-38.540417,143.97574470000000,2009-10-23,08:00:00,obsr294997,S11291047,Traveling,P22,EBIRD,60.0,0.805,,2.0,0,G447462,0,1,1,,,,
1018,URN:CornellLabOfOrnithology:EBIRD:OBS859550045,2020-02-28 23:04:33,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,Fairhaven Beach,L2550147,H,-38.46864,144.08414,2009-12-26,,obsr529639,S64075732,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,"Observed by MSo-BLV. Fairhaven Beach, Moggs Ck. Pr seen on 2 occasions.",
1019,URN:CornellLabOfOrnithology:EBIRD:OBS184735144,2020-04-12 03:43:35,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,South Gippsland,AU-VIC-SGI,,,,,Wilsons Promontory National Park,L928172,H,-38.9762255,146.3722229,2009-12-09,09:00:00,obsr358666,S13319206,Traveling,P22,EBIRD,390.0,6.0,,2.0,1,,0,1,0,,Cool and clear with light winds,,
1020,URN:CornellLabOfOrnithology:EBIRD:OBS346576479,2020-02-17 03:18:28,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,New South Wales,AU-NSW,Shoalhaven,AU-NSW-SHO,,,,,"Warden Head, Ulladulla",L2541722,H,-35.36553,150.48797,2009-11-03,08:00:00,obsr334446,S25330967,Traveling,P22,EBIRD,90.0,1.0,,2.0,0,,0,1,0,,,,
1021,URN:CornellLabOfOrnithology:EBIRD:OBS289655657,2020-02-17 03:18:28,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,New South Wales,AU-NSW,Shoalhaven,AU-NSW-SHO,,,,,"Warden Head, Ulladulla",L2541722,H,-35.36553,150.48797,2009-07-10,08:30:00,obsr518133,S21236673,Traveling,P22,EBIRD,3.0,3.219,,10.0,1,G1099771,0,1,0,,,,
1022,URN:CornellLabOfOrnithology:EBIRD:OBS859546738,2020-04-02 01:04:54,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Colac-Otway,AU-VIC-COL,,,,,Barham River Estuary,L2548917,H,-38.76449,143.66679,2009-01-09,,obsr529639,S64075353,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,"Observed by BnB. Barham River, mid-estuary. 2nd event of 2008/2009 season. 3 eggs, no hatching; cause unknown.",
1023,URN:CornellLabOfOrnithology:EBIRD:OBS228791141,2020-02-28 19:45:37,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Glenelg,AU-VIC-GLG,,,,,Discovery Bay Coastal Park--L Mombeong to Swan L,L2549328,H,-38.193670000000000,141.26014000000000,2009-03-30,,obsr19060,S16685967,Incidental,P20,EBIRD_AU,,,,2.0,1,,0,1,0,,Great South West Walk 2009 day 9 Eremaea Birds List 40458 Birdlife Australia Record Form 2000945,At least 5,
1024,URN:CornellLabOfOrnithology:EBIRD:OBS228748168,2017-10-20 11:45:51,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,West Tamar,AU-TAS-WET,,,,,Greens Beach,L2548063,H,-41.087110000000000,146.74301,2009-01-18,,obsr450712,S16710337,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Time: Mid-Afternoon Eremaea Birds List 38123,2,
1025,URN:CornellLabOfOrnithology:EBIRD:OBS859557476,2020-02-28 23:05:16,5753,species,Hooded Plover,Thinornis cucullatus,,,2,NE,C4,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,"Thompson Creek Estuary, Point Impossible",L3118536,H,-38.30023,144.37434,2009-10-09,,obsr529639,S64076879,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,"Observed by BnB. Thompson Ck estuary, E bank. Nest on river bank next to dead bush in dune vegetation. 3 eggs. Failure &#xfffd; unknown. 2nd event 16/11/2009; nest on river bank, 2 eggs. Failure &#xfffd; unknown.",
1026,URN:CornellLabOfOrnithology:EBIRD:OBS228882029,2020-02-28 23:32:23,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Killarney Beach,L1121735,H,-38.356545700000000,142.31097220000000,2009-08-09,,obsr440058,S16591141,Historical,P62,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 45075,,
1027,URN:CornellLabOfOrnithology:EBIRD:OBS265642163,2020-02-17 03:19:24,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,New South Wales,AU-NSW,Shoalhaven,AU-NSW-SHO,,,,,Lake Conjola Nature Reserve,L2542725,H,-35.2670658,150.5080819,2009-11-24,,obsr529134,S19266607,Incidental,P20,EBIRD,,,,,0,,0,1,0,,"A very nice morning spent near the mouth of Lake Conjola, sightings including one Hooded Plover (a pair regularly seen here for the past few summers - hopefully the other one on a nest rather than gone missing); a good sized flock of Little Terns with several observed nesting in the protected breeding area (when will dogs be finally banned from this beach/lake flats?!!); three Sanderlings keeping the Red-necked Stints company; a Whimbrel, and a pair of Eastern Curlews along with the other usual culprits. And to finish the morning, in the forests nearby, a Grey Goshawk at nest with a chick that appeared about 3 weeks old. Reported by Robert Griffin. Sighting 11503, Lake Conjola.",,
1028,URN:CornellLabOfOrnithology:EBIRD:OBS571477368,2020-02-28 23:33:48,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Bay of Martyrs,L3074656,H,-38.5999321,142.8594625,2009-09-18,11:00:00,obsr499730,S42265587,Incidental,P20,EBIRD,,,,3.0,0,,0,1,0,,,,
1029,URN:CornellLabOfOrnithology:EBIRD:OBS184797404,2020-03-15 01:11:58,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,Victoria,AU-VIC,South Gippsland,AU-VIC-SGI,,,,,Shallow Inlet Marine and Coastal Park,L2548741,H,-38.825292500000000,146.1625385,2009-12-10,09:30:00,obsr358666,S13323602,Traveling,P22,EBIRD,300.0,4.0,,1.0,1,,0,1,0,,Overcast and cool with some wind,,
1030,URN:CornellLabOfOrnithology:EBIRD:OBS860346690,2020-05-23 02:33:38,5753,species,Hooded Plover,Thinornis cucullatus,,,4,,,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,Point Impossible,L2548442,H,-38.30522,144.37708,2009-03-26,10:30:00,obsr515325,S64144302,Traveling,P22,EBIRD_AU,60.0,1.0,,20.0,1,,0,1,0,,Geelong Field Naturalists Club Bird Group excursion led by Craig Morley,"Observed by CMo BGp. Group of birds, amongst seaweed, on damp sand on beach.",
1031,URN:CornellLabOfOrnithology:EBIRD:OBS859552837,2020-02-28 22:31:29,5753,species,Hooded Plover,Thinornis cucullatus,,,4,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Lake Victoria,L2548623,H,-38.27322,144.59381000000000,2009-03-24,,obsr529639,S64076122,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by SWC. Pt Lonsdale. Incl smaller lakes to W.,
1032,URN:CornellLabOfOrnithology:EBIRD:OBS859554105,2020-02-28 23:03:31,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,Point Impossible,L2548442,H,-38.30522,144.37708,2009-09-04,,obsr529639,S64076369,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by JP. Zeally Bay. Possibly establishing a nest scrape.,
1033,URN:CornellLabOfOrnithology:EBIRD:OBS859549714,2020-05-31 02:47:27,5753,species,Hooded Plover,Thinornis cucullatus,,,7,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Blue Rocks,L4051176,H,-38.2838273,144.42650560000000,2009-06-28,,obsr529639,S64075615,Incidental,P20,EBIRD_AU,,,,2.0,0,,0,1,0,,GFNC records,"Observed by PD, RWd, TD-BLV. Blue Rocks area. With 1 Sanderling, 10+ Red-necked Stints, 10+ Double-banded Plovers and 100+ Red-capped Plovers. 3 Hooded Plovers on 04/07/2009.",
1034,URN:CornellLabOfOrnithology:EBIRD:OBS228880209,2017-10-20 12:29:33,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Dorset,AU-TAS-DOR,,,,,Waterhouse Conservation Area--Ransons Beach,L2548271,H,-40.84085,147.688,2009-09-02,,obsr450712,S16664140,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Time 14:30pm, Weather: 15 deg, sunny and calm. Eremaea Birds List 46240",1,
1035,URN:CornellLabOfOrnithology:EBIRD:OBS237339186,2017-10-20 12:09:50,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Break O'Day,AU-TAS-BRE,,,,,Binalong Bay,L2547595,H,-41.249360000000000,148.3123,2009-06-04,,obsr450923,S17232970,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,Staying at Michael's shack.,,
1036,URN:CornellLabOfOrnithology:EBIRD:OBS395878554,2020-06-01 08:29:58,5753,species,Hooded Plover,Thinornis cucullatus,,,4,,,"Unknown Sex, Adult (4)",Australia,AU,Tasmania,AU-TAS,Glamorgan/Spring Bay,AU-TAS-GLA,,,,,Prosser River Spit,L1163828,H,-42.5542184,147.8792381,2009-12-31,11:20:00,obsr432922,S29254936,Historical,P62,EBIRD_AU,35.0,,,1.0,1,,0,1,0,,Spit viewed from western side of lagoon.  Fine and hot.,,
1037,URN:CornellLabOfOrnithology:EBIRD:OBS859549721,2020-02-28 22:53:40,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Blue Rocks,L4051176,H,-38.2838273,144.42650560000000,2009-08-06,,obsr529639,S64075617,Incidental,P20,EBIRD_AU,,,,1.0,0,,0,1,0,,GFNC records,Observed by GMc. Blue Rocks area. 2 ads and 1 juv.,
1038,URN:CornellLabOfOrnithology:EBIRD:OBS460798419,2020-02-28 23:05:59,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Surf Coast,AU-VIC-SUR,,,,,Anglesea Foreshore Reserve,L3157937,H,-38.4100908,144.1872418,2009-12-09,,obsr182152,S33970343,Historical,P62,EBIRD,,,,2.0,1,G2171730,0,1,0,,,,
1039,URN:CornellLabOfOrnithology:EBIRD:OBS228882016,2020-02-28 23:32:23,5753,species,Hooded Plover,Thinornis cucullatus,,,13,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Killarney Beach,L1121735,H,-38.356545700000000,142.31097220000000,2009-08-08,,obsr440058,S16678808,Historical,P62,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 45074,,
